config_id,repeats,n_iterations,rollout_depth,root_parallelization,leaf_rollouts,exploration_constant,mean_final_score,std_final_score,min_final_score,max_final_score,mean_total_steps,std_total_steps,mean_runtime_sec,std_runtime_sec,terminated_runs,aborted_runs
cfg_0000_it10_depth2_root1_leaf1,10,10,2,1,1,1.4,9.4,4.273952,6,19,120.7,6.447222,3.48036,0.183561,10,0
cfg_0001_it10_depth2_root1_leaf4,10,10,2,1,4,1.4,10.8,4.131182,6,20,120.0,6.306963,3.497149,0.298852,10,0
cfg_0002_it10_depth2_root2_leaf1,10,10,2,2,1,1.4,10.4,2.366432,7,14,119.2,7.330302,3.588881,0.362788,10,0
cfg_0003_it10_depth2_root2_leaf4,10,10,2,2,4,1.4,11.1,3.28126,7,18,122.1,7.908505,3.63003,0.277022,10,0
cfg_0004_it10_depth4_root1_leaf1,10,10,4,1,1,1.4,10.6,2.503331,7,16,133.7,7.6019,4.709408,0.363012,10,0
cfg_0005_it10_depth4_root1_leaf4,10,10,4,1,4,1.4,12.7,4.110961,7,20,132.8,8.162244,4.496881,0.443891,10,0
cfg_0006_it10_depth4_root2_leaf1,10,10,4,2,1,1.4,11.3,3.056868,8,17,131.7,8.367264,4.68109,0.391548,10,0
cfg_0007_it10_depth4_root2_leaf4,10,10,4,2,4,1.4,9.1,4.306326,5,20,129.2,6.511528,4.621644,0.399308,10,0
cfg_0008_it10_depth6_root1_leaf1,10,10,6,1,1,1.4,12.2,5.09466,5,24,137.9,4.532598,5.800456,0.307387,10,0
cfg_0009_it10_depth6_root1_leaf4,10,10,6,1,4,1.4,8.4,1.505545,6,11,137.1,4.909175,5.561589,0.458377,10,0
cfg_0010_it10_depth6_root2_leaf1,10,10,6,2,1,1.4,9.5,2.915476,6,16,137.5,4.403282,5.716787,0.36029,10,0
cfg_0011_it10_depth6_root2_leaf4,10,10,6,2,4,1.4,10.4,3.50238,7,19,140.7,6.750309,5.82952,0.325407,10,0
cfg_0012_it20_depth2_root1_leaf1,10,20,2,1,1,1.4,10.4,4.087923,6,20,129.1,8.595218,7.876951,0.554891,10,0
cfg_0013_it20_depth2_root1_leaf4,10,20,2,1,4,1.4,9.0,1.490712,7,11,131.5,7.214954,7.822586,0.661369,10,0
cfg_0014_it20_depth2_root2_leaf1,10,20,2,2,1,1.4,9.5,2.415229,7,15,129.0,6.798693,7.789109,0.534533,10,0
cfg_0015_it20_depth2_root2_leaf4,10,20,2,2,4,1.4,11.0,3.126944,7,16,130.2,7.583608,7.678327,0.708508,10,0
cfg_0016_it20_depth4_root1_leaf1,10,20,4,1,1,1.4,10.5,2.54951,7,14,139.3,5.498485,9.890674,0.593171,10,0
cfg_0017_it20_depth4_root1_leaf4,10,20,4,1,4,1.4,11.7,2.213594,9,16,135.8,7.495184,9.522291,1.038375,10,0
cfg_0018_it20_depth4_root2_leaf1,10,20,4,2,1,1.4,9.5,1.509231,7,12,137.8,5.533735,9.494392,0.627832,10,0
cfg_0019_it20_depth4_root2_leaf4,10,20,4,2,4,1.4,12.2,5.202563,7,25,133.3,7.02456,9.384023,0.742106,10,0
cfg_0020_it20_depth6_root1_leaf1,10,20,6,1,1,1.4,9.3,2.213594,6,13,142.5,4.249183,11.948533,0.723488,10,0
cfg_0021_it20_depth6_root1_leaf4,10,20,6,1,4,1.4,9.3,2.213594,8,15,141.4,3.098387,11.854729,0.459905,10,0
cfg_0022_it20_depth6_root2_leaf1,10,20,6,2,1,1.4,9.9,3.212822,5,15,144.8,3.552777,12.150885,0.56575,10,0
cfg_0023_it20_depth6_root2_leaf4,10,20,6,2,4,1.4,10.4,3.921451,5,17,144.4,5.815688,12.28621,0.72855,10,0
cfg_0024_it50_depth2_root1_leaf1,10,50,2,1,1,1.4,17.9,6.454112,9,28,121.6,10.731056,18.879918,2.357977,10,0
cfg_0025_it50_depth2_root1_leaf4,10,50,2,1,4,1.4,11.8,3.645393,8,18,128.6,2.836273,20.213328,0.928149,10,0
cfg_0026_it50_depth2_root2_leaf1,10,50,2,2,1,1.4,14.9,5.065131,7,25,125.5,8.276473,18.27038,1.746694,10,0
cfg_0027_it50_depth2_root2_leaf4,10,50,2,2,4,1.4,12.4,4.526465,8,22,123.0,7.958224,18.133226,1.637627,10,0
cfg_0028_it50_depth4_root1_leaf1,10,50,4,1,1,1.4,15.5,7.245688,7,31,135.6,3.806427,24.385952,1.336604,10,0
cfg_0029_it50_depth4_root1_leaf4,10,50,4,1,4,1.4,17.5,6.186904,9,25,131.9,7.680422,24.246683,1.096744,10,0
cfg_0030_it50_depth4_root2_leaf1,10,50,4,2,1,1.4,13.1,6.314885,8,29,132.2,5.49343,24.421443,1.624753,10,0
cfg_0031_it50_depth4_root2_leaf4,10,50,4,2,4,1.4,13.1,9.445163,5,34,132.6,2.988868,25.187061,1.833862,10,0
cfg_0032_it50_depth6_root1_leaf1,10,50,6,1,1,1.4,11.5,3.064129,6,17,134.5,7.30677,28.229133,1.89004,10,0
cfg_0033_it50_depth6_root1_leaf4,10,50,6,1,4,1.4,11.5,3.535534,7,19,136.4,3.687818,28.391912,0.931035,10,0
cfg_0034_it50_depth6_root2_leaf1,10,50,6,2,1,1.4,16.5,5.892557,10,30,134.5,4.428443,28.080711,1.531233,10,0
cfg_0035_it50_depth6_root2_leaf4,10,50,6,2,4,1.4,11.7,3.860052,6,17,136.7,3.591657,28.689954,1.962996,10,0
